Author_name ,Date_Published ,Paper_title ,Abbrev_name,Link_to_source
Angelina Garcia ,2021,"Ancient and modern mitogenomes from Central Argentina: new insights into population continuity, temporal depth and migration in South America",,https://academic.oup.com/hmg/article/30/13/1200/6226240
Stefania Brandini,2017,The Paleo-Indian Entry into South America According to Mitogenomes,,https://academic.oup.com/mbe/article/35/2/299/4430355?login=false 
Kim-Louise Krettek,2025,A 6000-year long genomic transect from the Bogotá Altiplano reveals multiple genetic shifts in the demographic history of Colombia,KrettekScience2025,https://www.science.org/doi/10.1126/sciadv.ads6284#supplementary-materials 
Bastien Llamas,2016,Ancient mitochondrial DNA provides high-resolution time scale of the peopling of the Americas,LlamasSciAdv2016,https://www.science.org/doi/10.1126/sciadv.1501385
J.M.B Motti,2020,Identification of the geographic origins of people buried in the cemetery of the Salesian Mission of Tierra del Fuego through the analyses of mtDNA and stable isotopes,,https://doi.org/10.1016/j.jasrep.2020.102559
Nathan Nakatsuka,2020,Ancient genomes in South Patagonia reveal population movements associated with technological shifts and geography,NakatsukaNatCommun2020,https://www.nature.com/articles/s41467-020-17656-w
Vincent Zvenigorosky,2020,The genetic legacy of legendary and historical Siberian chieftains,ZvenigoroskyComunBiol2020,https://www.nature.com/articles/s42003-020-01307-3
Daniel Fernandes,2020,A genetic history of the pre-contact Caribbean,FernandesSirakNature2020,https://www.biorxiv.org/content/10.1101/2020.06.01.126730v1
Lars Fehren-Schmitz,2017,Genetic Ancestry of Rapanui before and after European Contact,FehrenSchmitzCurrBiol2017,https://pubmed.ncbi.nlm.nih.gov/29033334/
Maanasa Raghavan,2015,Genomic evidence for the Pleistocene and recent population history of Native Americans,RaghavanScience2015,https://www.science.org/doi/10.1126/science.aab3884
C.L Sheib,2018,Ancient human parallel lineages within North America contributed to a coastal expansion,ScheibScience2018,https://www.science.org/doi/10.1126/science.aar6851
Kathrin Nagele,2020,Genomic insights into the early peopling of the Caribbean,NägeleScience2020,https://www.science.org/doi/10.1126/science.aba8697
Danijela Popović,2021,Ancient genomes reveal long-range influence of the pre-Columbian culture and site of Tiwanaku,PopovićbioRxiv2021,https://www.science.org/doi/10.1126/sciadv.abg7261
Pavel Flegontov,2019,Palaeo-Eskimo genetic ancestry and the peopling of Chukotka and North America,FlegontovNature2019,https://www.nature.com/articles/s41586-019-1251-y
Lars Fehren-Schmitz,2015,A Re-Appraisal of the Early Andean Human Remains from Lauricocha in Peru,FehrenSchmitzPLoSONE2015,https://doi.org/10.1371/journal.pone.0127141
Mateusz Baca,2014,"Locals, resettlers, and pilgrims: A genetic portrait of three pre-Columbian Andean populations",,https://onlinelibrary.wiley.com/doi/10.1002/ajpa.22524
Fanny Mendisco,2014,"Genetic Diversity of a Late Prehispanic Group of the Quebrada de Humahuaca, Northwestern Argentina",MendiscoJHumGenet2014,https://onlinelibrary.wiley.com/doi/10.1111/ahg.12075
Ana Morales-Arce,2017,"Ancient mitochondrial DNA and ancestry of Paquimé inhabitants, Casas Grandes (A.D. 1200–1450)",,https://onlinelibrary.wiley.com/doi/10.1002/ajpa.23223
Gil McVean,2022,A unified genealogy of modern and ancient genomes,,https://www.science.org/doi/10.1126/science.abi8264#supplementary-materials
Javier Maravall-Lopez,2025,Eight millennia of continuity of a previously unknown lineage in Argentina,MaravallLopezNature2025,https://www.nature.com/articles/s41586-025-09731-3?utm_medium=external_display&utm_source=stork&utm_content=email&utm_term=null&utm_campaign=CONR_JRNLS_AWA1_CN_CNPL_0034V_STKRE
Ashot Margaryan,2020,Population genomics of the Viking world,MargaryanNature2020,https://www.nature.com/articles/s41586-020-2688-8
Marco Rosario Capodiffero,2021,Archaeogenomic distinctiveness of the Isthmo-Colombian area,CapodiferroCell2021,https://pubmed.ncbi.nlm.nih.gov/33761327/
Vera Tiesler,2022,Life and death in early colonial Campeche: new insights from ancient DNA,TieslerSedigAntiquity2022,https://www.cambridge.org/core/journals/antiquity/article/abs/life-and-death-in-early-colonial-campeche-new-insights-from-ancient-dna/1E92D867436AD6C150B52FC46A0915F1
Gonzalo Figueiro,2022,The genomic prehistory of the Indigenous peoples of Uruguay,LindoFigueiroPNASNexus2022,https://academic.oup.com/pnasnexus/article/1/2/pgac047/6571940
Mateusz Baca ,2012,Ancient DNA reveals kinship burial patterns of a pre-Columbian Andean community,,https://bmcgenomdata.biomedcentral.com/articles/10.1186/1471-2156-13-30
Mateusz Baca ,2020,Integration of ancient DNA with transdisciplinary dataset finds strong support for Inca resettlement in the south Peruvian coast,BongersPNAS2020,https://www.pnas.org/doi/full/10.1073/pnas.2005965117#data-availability
Nathan Nakatsuka,2020,A Paleogenomic Reconstruction of the Deep Population History of the Andes,NakatsukaCell2020,https://www.cell.com/cell/fulltext/S0092-8674(20)30477-3?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0092867420304773%3Fshowall%3Dtrue
Nathan Nakatsuka,2018,Reconstructing the Deep Population History of Central and South America,PosthNakatsukaCell2018,https://pubmed.ncbi.nlm.nih.gov/30415837/
Elena Zavala,2021,Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,ZavalaNature2021,https://www.nature.com/articles/s41586-021-03675-0 
Victor Moreno-Mayar,2018,Early human dispersals within the Americas,MorenoMayarScience2018,https://www.science.org/doi/10.1126/science.aav2621
Ana Duggan,2017,"Genetic Discontinuity between the Maritime Archaic and Beothuk Populations in Newfoundland, Canada",DugganCurrBiol2017,https://www.cell.com/current-biology/fulltext/S0960-9822(17)31091-6?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982217310916%3Fshowall%3Dtrue
Morten Rasmussen,2014,The genome of a Late Pleistocene human from a Clovis burial site in western Montana,,https://www.nature.com/articles/nature13025#accession-codes
Yinqiu Cui,2013,Ancient DNA Analysis of Mid-Holocene Individuals from the Northwest Coast of North America Reveals Different Evolutionary Paths for Mitogenomes,CuiPLOSOne2013,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0066948
Brian Kemp,2009,Genetic continuity after the collapse of the Wari empire: Mitochondrial DNA profiles from Wari and post-Wari populations in the ancient Andes,KempAmJPhysAnthropol2009,https://onlinelibrary.wiley.com/doi/10.1002/ajpa.21037
