Fasta_ID_alignment,Haplogroup,in_alvar,,,,,,,
0126-0384_Chilca_Peru_c_750_A2b1a,A2b1a,TRUE,,,,,,,
0204-0531_Wichqana_Peru_c_2675,A2b1a,FALSE,,,,,,,
700_00_Chondorko_Ecuador_d_843,A2b1a,FALSE,,,,,,,
AM-VH-21_VistaHermosa_Mexico_c_600,A2b1a,FALSE,,,,,,,
ANH38_Weyanoke_USA_c_960,A2b4,FALSE,,,,,,,
Az-1273_TizayucaR5_Mexico_c_1100,A2b1a,FALSE,,,,,,,
Az-1274_TizayucaR5_Mexico_c_1100,A2b1a,FALSE,,,,,,,
Az-1661_TizayucaR5_Mexico_c_600,A2b1a,FALSE,,,,,,,
Az-1791_TizayucaR5_Mexico_d_546_A2b1a,A2b1a,TRUE,,,,,,,
Az-1923_TizayucaR5_Mexico_d_408,A2b1a,FALSE,,,,,,,
Az-1929_TizayucaR5_Mexico_c_1100,A2b1a,FALSE,,,,,,,
Az-1930_LasGolondrinas_Mexico_d_476,A2b1a,FALSE,,,,,,,
Az-1931_TizayucaR5_Mexico_c_1100,A2b1a,FALSE,,,,,,,
Az-1932_ElChato_Mexico_c_1100,A2b1a,FALSE,,,,,,,
Az-1934_TizayucaR5_Mexico_d_1020_A2b1a,A2b1a,TRUE,,,,,,,
Az-1935_TizayucaR5_Mexico_d_1090,A2b1a,FALSE,,,,,,,
Az-1936_TizayucaR5_Mexico_c_1100,A2b1a,FALSE,,,,,,,
Az-1937_TizayucaR5_Mexico_c_1100,A2b1a,FALSE,,,,,,,
Az-1944_LasGolondrinas_Mexico_c_1525,A2b1a,FALSE,,,,,,,
Az-1947_LasGolondrinas_Mexico_c_1525,A2b1a,FALSE,,,,,,,
Az-314_TizayucaR6_Mexico_d_980_A2b1a,A2b1a,TRUE,,,,,,,
Az-316_TizayucaR6_Mexico_c_1100_A2b1a,A2b1a,TRUE,,,,,,,
Az-464_TizayucaR6_Mexico_c_1100,A2b1a,FALSE,,,,,,,
Az-4985_MalpaisPrieto_Mexico_c_650,A2b1a,FALSE,,,,,,,
Az-563_TizayucaR5_Mexico_c_1100_A2b1a,A2b1b,FALSE,,,,,,,
Az-657_TizayucaR6_Mexico_d_1090_A2b1a,A2b1a,TRUE,,,,,,,
Az-749_LasGolondrinas_Mexico_d_1480,A2b1a,FALSE,,,,,,,
China_Harbin_12904_Heilongjiang_China_d_12904_A2_A2c,A2c,TRUE,,,,,,,
D_Alabama1_2250_CoxSite_USA_c_2250_A2b4,A2b4,TRUE,,,,,,,
D_Alabama1_5000_FlintRiver_USA_c_5000,A2b4,FALSE,,,,,,,
D_Alabama2_5000_LittleBear_USA_c_3000,A2b4,FALSE,,,,,,,
D_Alaska1_100_PointHope_Alaska_c_100,A2a1,FALSE,,,,,,,
D_Alaska1_1105_Deering_Alaska_c_1105_A1a1,A1b1,FALSE,,,,,,,
D_Alaska1_1230_Uyak_Alaska_c_1230,A2b5,FALSE,,,,,,,
D_Alaska1_1695_Uyak_Alaska_c_1695,A2b5,FALSE,,,,,,,
D_Alaska1_212_CapeEspenberg_Alaska_c_212_A1b1,A1b1,TRUE,,,,,,,
D_Alaska1_2200_Chugachik_Alaska_c_2200,A2a1,FALSE,,,,,,,
D_Alaska1_25_Cape_Dyer_Alaska_c_25_A2b5,A2b5,TRUE,,,,,,,
D_Alaska1_3763_TeshekpukLake_Alaska_c_3763,A2a1,FALSE,,,,,,,
D_Alaska1_400_CapeEspenberg_Alaska_c_400_A2b5,A2b5,TRUE,,,,,,,
D_Alaska1_500_Nunalleq_USA_c_500,A1b1,FALSE,,,,,,,
D_Alaska1_620_CapeEspenberg_Alaska_c_620_A1b1,A1b1,TRUE,,,,,,,
D_Alaska1_740_Ahteut_Alaska_c_740_A2b5,A2b5,TRUE,,,,,,,
D_Alaska1_825_CapeEspenberg_Alaska_c_825,A1b1,FALSE,,,,,,,
D_Alaska2_1125_Walakpa_Alaska_c_1125_A2a1,A2a1,TRUE,,,,,,,
D_Alaska2_500_Nunalleq_USA_c_500,A1b1,FALSE,,,,,,,
D_Alaska2_620_CapeEspenberg_Alaska_c_620_A2b5,A2b5,TRUE,,,,,,,
D_Alaska3_500_Nunalleq_USA_c_500_A1b1,A1b1,TRUE,,,,,,,
D_Alaska5_500_Nunalleq_USA_c_500,A1b1,FALSE,,,,,,,
D_AngelMound1_1000_AngelMounds_USA_c_1000_A2b2,A2b2,TRUE,,,,,,,
D_AngelMound2_1000_AngelMounds_USA_c_1000_A2b4,A2b4,TRUE,,,,,,,
D_AngelMound3_1000_AngelMounds_USA_c_1000_A2b4,A2b4,TRUE,,,,,,,
D_AngelMound4_1000_AngelMounds_USA_c_1000_A2b,A2b1b,TRUE,,,,,,,
D_Argentina1_1000_CerroLutz_Argentina_c_1000_A2b1a,A2b1a,TRUE,,,,,,,
D_BColumbia2_1500_PrinceRupert_Canada_c_1500_A2b5,A2b5,TRUE,,,,,,,
D_California1_2000_SantaRosa_USA_c_2000,A2b1b,FALSE,,,,,,,
D_California1_4000_ChannelIslands_USA_c_4000_A2b3,A2b1b,FALSE,,,,,,,
