Fasta_ID_alignment,Assigned_Hg_based_on_tree,node_of_assigned_monophyletic_clade,colour_name,colour_hex_code
I2712_USA_Ca−sri−3_California_d_7698_A2,A2,637,red,#E7180B
I2710_USA_Ca−sri−3_California_d_7823_A2,A2,637,red,#E7180B
AZ48_Colombia_Aguazuque__d__3850_A264,A2,637,red,#E7180B
ASO_B2_S5__d_Argentina_ArroyoSeco2__7430_A2,A2,637,red,#E7180B
I2537_Chile_PicaOcho_d_645_A2,A2,637,red,#E7180B
I2703_USA_Ca−sri−2b_California_c_600_A2,A2,637,red,#E7180B
MW886118_Argentina_Guasmara__d__814_A2bb1,A2,637,red,#E7180B
I7971_DominicanRepublic_LaUnion_d_624_A2,A2,637,red,#E7180B
I15679_DominicanRepublic_LaCaleta_d_974_A2h,A2,637,red,#E7180B
I14880_Bahamas_SouthAndrosIsland_d_750_A2h,A2,637,red,#E7180B
I13541_PuertoRico_Canas_c_1000_A2h,A2,637,red,#E7180B
S0300_Peru_SanSebastian__c__550_A2,A2,637,red,#E7180B
I1743_Peru_SanSebastian_d_495_A2,A2,637,red,#E7180B
I0038_Peru_Lauricocha_d_8625_A264,A2,637,red,#E7180B
I2243_Peru_ElBrujo_c_925_A2,A2,637,red,#E7180B
KP300790_Peru_Lauricocha__c_c_8536_A2as,A2,637,red,#E7180B
AZ46_Colombia_Aguazuque__d__3850_A264,A2,637,red,#E7180B
UB3_Colombia_Ubat____d__5620_A264,A2,637,red,#E7180B
I0040_Peru_Lauricocha_d_5845_A264,A2,637,red,#E7180B
KP300793_Peru_Lauricocha__d__5921_A2,A2,637,red,#E7180B
I13472_Curacao_DeSavaan_d_602_A2am,A2,637,red,#E7180B
I0308_Argentina_ArroyoSecoIi_d_7430_A264,A2,637,red,#E7180B
S0352_Argentina_ArroyoSeco2__d__7755_A264,A2,637,red,#E7180B
AZ77_Colombia_Aguazuque__d__4575_A264,A2,637,red,#E7180B
BTK114_Canada_Newfoundland__d__4319_A264,A2,637,red,#E7180B
BTK45_Canada_Newfoundland__d__4018_A264,A2,637,red,#E7180B
BTK169_Canada_Newfoundland__d__4579_A264,A2,637,red,#E7180B
BTK12_Canada_Newfoundland__d__125_A2i,A2,637,red,#E7180B
BTK147_Canada_Newfoundland__d__4130_A264,A2,637,red,#E7180B
I10759_Curacao_DeSavaan_c_650_A264,A2,637,red,#E7180B
KP300791.1_Peru_Lauricocha__c__8450_A2,A2,637,red,#E7180B
I0238_Peru_Lauricocha_c_8450_A2,A2,637,red,#E7180B
I0039_Peru_Lauricocha_d_3520_A264,A2,637,red,#E7180B
I2711_USA_Ca−sri−3_California_d_7369_A2,A2,637,red,#E7180B
I14825_USA_ParadiseCove_California_d_3198_A2ao,A2,637,red,#E7180B
S0181_Peru_LaGalgada__c__4000_A2,A2,637,red,#E7180B
I13441_PuertoRico_CaboRojo11_c_950_A264,A2,637,red,#E7180B
I14994_DominicanRepublic_LosCorniel_d_703_A2,A2,637,red,#E7180B
I23705_Mexico_Sonora_d_2810_A2c,A2,637,red,#E7180B
I11985_Mexico_Cueva_d_1145_A2c,A2,637,red,#E7180B
S0322_Chile_Pica−8__c__750_A2,A2,637,red,#E7180B
I5319_USA_TochakMcgrath_d_725_A2a1,A2,637,red,#E7180B
BTK84_Canada_Newfoundland__d__4102_A2a,A2,637,red,#E7180B
I1123_USA_KagamilIsland_AleutianIslands_d_315_A2a,A2,637,red,#E7180B
