Fasta_ID_alignment,Assigned_Hg_based_on_tree,colour_name,colour_hex_code
AF347014.1_yoruba_reference,NA,,
Ancient152_Canada_DodgeIsland__d__2535_A2ag,A2,red,#E7180B
Ancient160a_Canada_DodgeIsland__d__4855_A2ah,A2,red,#E7180B
Ancient938_Canada_LucyIsland__d__6075_A2ag,A2,red,#E7180B
Ancient939_Canada_LucyIsland__d__5675_D4h3a7,D,green,#007C66
ASO_B1_S1__c_Argentina_ArroyoSeco2__7140_C1c,C,orange,#FFA600
ASO_B10_S17__c_Argentina_ArroyoSeco2__7790_C1b,C,orange,#FFA600
ASO_B13_S20__c_Argentina_ArroyoSeco2__8366.5_C1c,C,orange,#FFA600
ASO_B2_S5__d_Argentina_ArroyoSeco2__7430_A2,A2,red,#E7180B
ASO_B24_S31__d_Argentina_ArroyoSeco2__8366.5_C1b,C,orange,#FFA600
ASO_B3_S7__c_Argentina_ArroyoSeco2__7821.5_C1b,C,orange,#FFA600
AZ21_Colombia_Aguazuque__d__4030_C1b,C,orange,#FFA600
AZ32_Colombia_Aguazuque__d__2725_A264,A2,red,#E7180B
AZ33_Colombia_Aguazuque__d__2725_B2d,B2,blue,#377CEF
AZ46_Colombia_Aguazuque__d__3850_A264,A2,red,#E7180B
AZ48_Colombia_Aguazuque__d__3850_A264,A2,red,#E7180B
AZ66_Colombia_Aguazuque__d__4030_B2,B2,blue,#377CEF
AZ68_Colombia_Aguazuque__d__4030_C1b,C,orange,#FFA600
AZ75_Colombia_Aguazuque__d__4575_B2,B2,blue,#377CEF
AZ77_Colombia_Aguazuque__d__4575_A264,A2,red,#E7180B
BTK01_Canada_Newfoundland__d__160_X2a1b,X2a1,purple,#7B3B97
BTK114_Canada_Newfoundland__d__4319_A264,A2,red,#E7180B
BTK119_Canada_Newfoundland__d__4082_D1,D,green,#007C66
BTK12_Canada_Newfoundland__d__125_A2i,A2,red,#E7180B
BTK141_Canada_Newfoundland__d__4353_C1b,C,orange,#FFA600
BTK144_Canada_Newfoundland__d__3976_C1b,C,orange,#FFA600
BTK146_Canada_Newfoundland__d__4058_C1b,C,orange,#FFA600
BTK147_Canada_Newfoundland__d__4130_A264,A2,red,#E7180B
BTK15_Canada_Newfoundland__d__197_C1c,C,orange,#FFA600
BTK150_Canada_Newfoundland__d__4414_C4c1,C,orange,#FFA600
BTK156_Canada_Newfoundland__d__4495_B2c,B2,blue,#377CEF
BTK162_Canada_Newfoundland__d__4564_C4c1,C,orange,#FFA600
BTK166_Canada_Newfoundland__d__4664_B2c,B2,blue,#377CEF
BTK168_Canada_Newfoundland__d__4356_C4c1,C,orange,#FFA600
BTK169_Canada_Newfoundland__d__4579_A264,A2,red,#E7180B
BTK178_Canada_Newfoundland__d__4161_X2a1,X2a1,purple,#7B3B97
BTK188_Canada_Newfoundland__d__132_A2i,A2,red,#E7180B
BTK20_Canada_Newfoundland__d__172_A2i,A2,red,#E7180B
BTK35_Canada_Newfoundland__d__193_C1c,C,orange,#FFA600
BTK36_Canada_Newfoundland__d__4040_X2a1,X2a1,purple,#7B3B97
BTK37_Canada_Newfoundland__d__3912_D1,D,green,#007C66
BTK40_Canada_Newfoundland__d__4219_C4c1,C,orange,#FFA600
BTK41_Canada_Newfoundland__d__4007_C1b,C,orange,#FFA600
BTK44_Canada_Newfoundland__d__4150_C4c1b,C,orange,#FFA600
BTK45_Canada_Newfoundland__d__4018_A264,A2,red,#E7180B
BTK46_Canada_Newfoundland__d__4307_D1,D,green,#007C66
BTK49_Canada_Newfoundland__d__4501_C4c1,C,orange,#FFA600
BTK50_Canada_Newfoundland__d__4439_C4c1,C,orange,#FFA600
BTK52_Canada_Newfoundland__d__4422_B2c,B2,blue,#377CEF
BTK53_Canada_Newfoundland__d__4450_C4c1,C,orange,#FFA600
BTK54_Canada_Newfoundland__d__300_D1,D,green,#007C66
BTK55_Canada_Newfoundland__d__203_A2i,A2,red,#E7180B
BTK60_Canada_Newfoundland__d__162_A2i,A2,red,#E7180B
BTK62_Canada_Newfoundland__d__138_X2a1b,X2a1,purple,#7B3B97
BTK63_Canada_Newfoundland__d__388_X2a1b,X2a1,purple,#7B3B97
BTK68_Canada_Newfoundland__d__371_A2i,A2,red,#E7180B
BTK70_Canada_Newfoundland__d__164_A2i,A2,red,#E7180B
BTK71_Canada_Newfoundland__d__285_C1c,C,orange,#FFA600
BTK72_Canada_Newfoundland__d__217_C1c,C,orange,#FFA600
BTK73_Canada_Newfoundland__d__1335_A2i,A2,red,#E7180B
BTK75_Canada_Newfoundland__d__1370_D2a1,D,green,#007C66
BTK76_Canada_Newfoundland__d__871_C1b,C,orange,#FFA600
BTK80_Canada_Newfoundland__d__4113_C4c1b,C,orange,#FFA600
BTK84_Canada_Newfoundland__d__4102_A2a,A2,red,#E7180B
BTK88_Canada_Newfoundland__d__4013_D1,D,green,#007C66
BTK93_Canada_Newfoundland__d__3921_B2c,B2,blue,#377CEF
CG14E01−10_Uruguay_DepartmentDeRocha__d__915_C1b,C,orange,#FFA600
CG14E01−9_Uruguay_DepartmentDeRocha__d__915_C1b,C,orange,#FFA600
CH13_Uruguay_SanMiguel_d_604_C1d3,C,orange,#FFA600
CH19B_Uruguay_SanMiguel_d_1311_C1c,C,orange,#FFA600
CH2D01−20_Uruguay_DepartmentDeRocha__c_c_1610_C1d3,C,orange,#FFA600
I0038_Peru_Lauricocha_d_8625_A264,A2,red,#E7180B
I0039_Peru_Lauricocha_d_3520_A264,A2,red,#E7180B
I0040_Peru_Lauricocha_d_5845_A264,A2,red,#E7180B
I0041_Peru_Lauricocha_d_8505_B2,B2,blue,#377CEF
I0042_Peru_Botigiriayocc_d_700_C1b,C,orange,#FFA600
I0044_Peru_HuacaPucllana_d_615_C1b,C,orange,#FFA600
I0237_Peru_Botigiriayocc_d_860_B2,B2,blue,#377CEF
I0238_Peru_Lauricocha_c_8450_A2,A2,red,#E7180B
I0308_Argentina_ArroyoSecoIi_d_7430_A264,A2,red,#E7180B
I0309_Argentina_ArroyoSecoIi_d_7650_D1,D,green,#007C66
I0324_Peru_ElBrujo_d_1095_C1b,C,orange,#FFA600
I0712_USA_ChalukaMidden_AleutianIslands_d_1065_D2a1a,D,green,#007C66
I0719_USA_ChalukaMidden_AleutianIslands_d_505_D2a1a,D,green,#007C66
I0721_USA_ChalukaMidden_AleutianIslands_d_2070_D2a1a,D,green,#007C66
I0964_Peru_HuacaPucllana_d_540_C1b,C,orange,#FFA600
I0965_Peru_HuacaPucllana_d_555_D1,D,green,#007C66
