Sample_ID,Object ID,other ID,Genbank ID,Fasta file ID,Fasta_ID_alignment,Long,Lat,Country/Region,Site location,Site ID,Haplogroup,Haplogroup assigned?,Average_Age_YBP,Date_range,Dating_method,Species,Coverage_depth,Coverage_breadth,calculated_sequence_completeness,Source,metadata_source_or_what_i_put_into_mastersheet,Partial,paper link,notes
S90,SP7214,,,SP7214_S90,S90_Russia_DenisovaCave_c_47000_Modern Human,84.676111,51.3975,Russia,Denisova Cave,"South Chamber, Layer 11",Modern Human,Y,47000,,contextual,human,37.76,,0.4496348603,ZavalaNature2021,,"partial, protein coding region, 11,341bps",,
E250,SP7570,,,SP7570_E250,E250_Russia_DenisovaCave_c_32500_Modern Human,84.676111,51.3975,Russia,Denisova Cave,"East Chamber, Layer 11.2",Modern Human,Y,32500,,contextual,human,27.5,,0.4544028004,ZavalaNature2021,,"partial, protein coding region, 11,341bps",,
E254,SP7574,,,SP7574_E254,E254_Russia_DenisovaCave_c_32500_Modern Human,84.676111,51.3975,Russia,Denisova Cave,"East Chamber, Layer 11.1",Modern Human,Y,32500,,contextual,human,32.92,,0.4540406784,ZavalaNature2021,,"partial, protein coding region, 11,341bps",,
Yana1,,,,Yana1,Yana1_Russia_Yana-river_c_31850_U2'3'4'7'8'9,135.42,70.72,Russia,"Yana-River (Sakha Republic, Ust-Yansky Ulus)",,U2'3'4'7'8'9,,31850,30250-29550 BCE,contextual,human,727.756,0.991142,0.9781519705,SikoraNature2019,,,https://www.nature.com/articles/s41586-019-1279-z,Context: There are 28 radiocarbon dates on the layer tightly constrained in time.
Yana2,,,,Yana2,Yana2_Russia_Yana-river_c_31850_U2'3'4'7'8'9,135.42,70.72,Russia,"Yana-River (Sakha Republic, Ust-Yansky Ulus)",,U2'3'4'7'8'9,,31850,30250-29550 BCE,contextual,human,578.245,0.967563,0.9540708552,SikoraNature2019,,,https://www.nature.com/articles/s41586-019-1279-z,Context: There are 28 radiocarbon dates on the layer tightly constrained in time.
MA1,Malta1,,,MA1,MA1_Russia_Mal'ta_d_24320_,103.5,52.9,Russia,Mal'ta,,,N,24320,"22621-22171 calBCE (20240±60 BP, UCIAMS-79666)",direct_radiocarbon_dating,human,77.5272,1.0121,1.000060354,RaghavanNature2014,,,,
DCP1,,,,DCP1 no comment,DCP1_Siberia_DenisovaCave_c_22000_U,84.6761,51.3975,Siberia,Denisova Cave,,U,Y,22000,,contextual,human,62,,0.9855754723,EsselNature2023,EsselNature2023,,https://www.nature.com/articles/s41586-023-06035-2#additional-information,
AfontovaGora3,AfontovaGora3,PRJEB13123,,AfontovaGora3,AfontovaGora3_Russia_AfontovaGora_d_17930_R1b,92.87,56.05,Russia,Afontova Gora,,R1b,Y,17930,"16257-15905 calBCE (14710±60 BP, MAMS-27186)",direct_radiocarbon_dating,human,35.6796,0.87526,0.8602812481,FuNature2016,,,10.1038/nature17993,
Khaiyrgas-1,yak025,,MH359229.1,MH359229,Khaiyrgas-1_Russia_LenaRiver__d_d_16684.5_R1,117.4666667,59.95,Russia,Lena River,Khaiyrgas Cave (Lena river),R1,Y,16684.5,14969-14500 calBCE,direct_radiocarbon_dating,human,243.04,,0.9832820327,KılınçSciAdv2021 from KılınçSciRep2018,,,,
UKY001,Ust'Kyakhta-3 1976 Excavation area 1 Layer 1 Square B-3 Teeth fragment,PRJEB37007,,UKY001,UKY001_Russia_EasternSiberia_d_13929_C4,106.274289,50.534142,Russia,Eastern Siberia,Ust'Kyakhta,C4,Y,13929,12100-11858 calBCE (12065±37 BP) [R_combine: (11505±100 BP); (12136±54 BP); (12151±58 BP)],direct_radiocarbon_dating,human,119.292,1.01203,0.8355362424,YuCell2020,,,https://www.cell.com/cell/fulltext/S0092-8674%2820%2930502-X?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS009286742030502X%3Fshowall%3Dtrue,link to .bam is ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR397/ERR3977848/UKY001.B0101.1240K.bam
Anzick,"Anzick-1, Anzick1",,,Anzick1,Anzick_USA_Montana_d_12712_D4h3a,-110.661389,45.993056,USA,,,D4h3a,Y,12712,"10,705 ± 35 14C years bp",direct_radiocarbon_dating,human,897.956,0.977214,0.961856479,RasmussenNature2014,,,https://www.nature.com/articles/nature13025,
I11974,LV036 ind 1,,,I11974.AG,I11974_Chile_LosRieles_d_11885_C1b,-71.5,-31.92,Chile,"Los Rieles (Coquimbo, Los Vilos)",,C1b,Y,11885,"10420-9450 calBCE (10415±40 BP, PSUAMS-5282)",direct_radiocarbon_dating,human,233.6,,0.9997585853,PosthNakatsukaCell2018,harvard,,doi:10.1016/j.cell.2018.10.027,
I24541,2143 (MHCP.19.12.17),,,I24541.AG,I24541_Belize_MayahakCabPek_c_11700_n/a (<2x),-88.90496,16.497398,Belize,"Mayahak Cab Pek (Toledo District, Maya Mountains, Bladen Nature Reserve)",,n/a (<2x),Y,11700,10100-9400 BCE,contextual,human,0.264,,0.1863117871,KennettLipsonPruferNatureCommunications2022,harvard,,doi:10.1038/s41467-022-29158-y,
USR1,"USR1,KT891989.1",,KT891989.1,KT891989,USR1_Usa_UpwardSunRiver__c_c_11425_C1b,-145.71,64.22,USA,Upward Sun River,,C1b,Y,11425,9700-9250 BCE,contextual,human,,,0.999637878,TackneyPNAS2015,,,https://www.pnas.org/doi/full/10.1073/pnas.1511903112#data-availability,
