Sample_ID,Object ID,other ID,Genbank ID,AlvarID,Fasta file ID,Fasta_ID_alignment,Long,Lat,Country/Region,Site location,Site ID,Haplogroup,Haplogroup_assigned?,Average_Age_YBP,Date_range,Dating_method,Species,Coverage_depth,Coverage_breadth,calculated_sequence_completeness,Source_publication,metadata_source_or_what_i_put_into_mastersheet,paper link,notes
0126-0384,,,,Peru_Chilca_c750,0126-0384_AL2829,0126-0384_Chilca_Peru_c_750_A2b1a,-76.722875,-12.472577,"Peru, Lima",Chilca,,A2b1a,Y,750,1000-600 bp,contextual,Canis familiaris,23.0272,98.2005,0.9811,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
0204-0531,,,,,0204-0531_AL2834,0204-0531_Wichqana_Peru_c_2675,-74.211111,-13.133333,"Peru, Ayacucho",Wichqana,,,,2675,3700-1650 bp,contextual,Canis familiaris,10.5985,97.1902,0.9705,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
700_00,,,,,700_00_SC1061,700_00_Chondorko_Ecuador_d_843,-78.4803484,-7.12608532,Ecuador,Chondorko,,,,843,913-772 cal.BPb,direct_radiocarbon_dating,Canis familiaris,679.49,100,1,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
AM-VH-21,,,,,AM-VH-21,AM-VH-21_VistaHermosa_Mexico_c_600,-99.25405442,22.47872859,"Mexico, Tamaulipas",Vista Hermosa,,,,600,700-500 bp,contextual,Canis familiaris,3.584,91.24,0.9013,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
ANH38,ANH_38,,, ,ANH_38,ANH38_Weyanoke_USA_c_960,-77.0661,37.2919,USA,Weyanoke,"Weyanoke Old Town, Virginia (the Hatch site)", , ,960,,contextual,Canis familiaris,,,0.9259,,NorthAmericanDogs_lachie2,,
Az-1273,,,,,Az-1273,Az-1273_TizayucaR5_Mexico_c_1100,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R5, Haciendas",,,,1100,1700-500 bp,contextual,Canis familiaris,36.172,98.98,0.9895,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-1274,,,,,Az-1274,Az-1274_TizayucaR5_Mexico_c_1100,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R5, Haciendas",,,,1100,1700-500 bp,contextual,Canis familiaris,57.022,99.12,0.9909,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-1661,,,,,Az-1661,Az-1661_TizayucaR5_Mexico_c_600,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R5, Haciendas",,,,600,700-500 bp,contextual,Canis familiaris,54.21,99.9,0.9986,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-1791,,,,Mexico_TizayucaR5_546 ,Az-1791,Az-1791_TizayucaR5_Mexico_d_546_A2b1a,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R5, Haciendas",,A2b1a,Y,546,627-520 cal.BPa,direct_radiocarbon_dating,Canis familiaris,23.521,99.48,0.9943,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-1923,,,,,Az-1923,Az-1923_TizayucaR5_Mexico_d_408,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R5, Haciendas",,,,408,497-319 cal.BPa,direct_radiocarbon_dating,Canis familiaris,3.156,93.85,0.9298,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-1929,,,,,Az-1929,Az-1929_TizayucaR5_Mexico_c_1100,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R5, Haciendas",,,,1100,1700-500 bp,contextual,Canis familiaris,2.356,80.58,0.7873,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-1930,,,,,Az-1930,Az-1930_LasGolondrinas_Mexico_d_476,-98.93591,19.86216,"Mexico, Hidalgo","Tizayuca R4, Las Golondrinas",,,,476,510-329 cal.BPa,direct_radiocarbon_dating,Canis familiaris,93.371,100,0.9998,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-1931,,,,,Az-1931,Az-1931_TizayucaR5_Mexico_c_1100,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R5, Haciendas",,,,1100,1700-500 bp,contextual,Canis familiaris,9.66,97.92,0.9776,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-1932,,,,,Az-1932,Az-1932_ElChato_Mexico_c_1100,-98.93619803,19.87828976,"Mexico, Hidalgo","Tizayuca R1, El Chato",,,,1100,1700-500 bp,contextual,Canis familiaris,90.82,100,0.9998,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-1934,,,,Mexico_TizayucaR5_1020,Az-1934,Az-1934_TizayucaR5_Mexico_d_1020_A2b1a,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R5, Haciendas",,A2b1a,Y,1020,1177-958 cal.Bpa,direct_radiocarbon_dating,Canis familiaris,44.865,99.37,0.9934,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-1935,,,,,Az-1935,Az-1935_TizayucaR5_Mexico_d_1090,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R5, Haciendas",,,,1090,1179-978 cal.BPa,direct_radiocarbon_dating,Canis familiaris,9.836,98.02,0.9795,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-1936,,,, ,Az-1936,Az-1936_TizayucaR5_Mexico_c_1100,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R5, Haciendas",, ,,1100,1700-500 bp,contextual,Canis familiaris,1.152,67.29,0.6524,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-1937,,,, ,Az-1937,Az-1937_TizayucaR5_Mexico_c_1100,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R5, Haciendas",, ,,1100,1700-500 bp,contextual,Canis familiaris,4.368,97.6,0.9722,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-1944,,,,,Az-1944,Az-1944_LasGolondrinas_Mexico_c_1525,-98.93591,19.86216,"Mexico, Hidalgo","Tizayuca R4, Las Golondrinas",,,,1100,1700-500 bp,contextual,Canis familiaris,13.615,99.67,0.9961,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-1947,,,,,Az-1947,Az-1947_LasGolondrinas_Mexico_c_1525,-98.93591,19.86216,"Mexico, Hidalgo","Tizayuca R4, Las Golondrinas",,,,1525,1700-500 bp,contextual,Canis familiaris,1.321,71.58,0.6946,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-314,,,,Mexico_TizayucaR6_980 ,Az-314,Az-314_TizayucaR6_Mexico_d_980_A2b1a,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R6, Haciendas",,A2b1a,Y,980,1057-928 cal.BPa,direct_radiocarbon_dating,Canis familiaris,55.391,99.1,0.9906,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-316,,,,Mexico_TizayucaR6_1090,Az-316,Az-316_TizayucaR6_Mexico_c_1100_A2b1a,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R6, Haciendas",,A2b1a,Y,1100,1700-500 bp,contextual,Canis familiaris,5.885,97.63,0.9741,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-464,,,, ,Az-464,Az-464_TizayucaR6_Mexico_c_1100,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R6, Haciendas",, ,,1100,1700-500 bp,contextual,Canis familiaris,3.207,91.72,0.9077,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-4985,,,,,Az-4985,Az-4985_MalpaisPrieto_Mexico_c_650,-101.7971689,19.87598745,"Mexico, Michoacán",Malpais Prieto,,,,650,750-550 bp,contextual,Canis familiaris,99.877,99.27,0.9922,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-563,,,,Mexico_TizayucaR5_1020 ,Az-563,Az-563_TizayucaR5_Mexico_c_1100_A2b1a,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R5, Haciendas",,A2b1a,Y,1100,1700-500 bp,contextual,Canis familiaris,1.639,77.2,0.7535,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-657,,,,Mexico_TizayucaR6_1090 ,Az-657,Az-657_TizayucaR6_Mexico_d_1090_A2b1a,-98.96692,19.87784,"Mexico, Hidalgo","Tizayuca R6, Haciendas",,A2b1a,Y,1090,1179-978 cal.BPa,direct_radiocarbon_dating,Canis familiaris,68.691,100,0.9996,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
Az-749,,,,,Az-749,Az-749_LasGolondrinas_Mexico_d_1480,-98.93591,19.86216,"Mexico, Hidalgo","Tizayuca R4, Las Golondrinas",,,,1480,1540-1412 cal.BPa,direct_radiocarbon_dating,Canis familiaris,5.465,97.18,0.9683,ManinPROCB2025,ManinPROCB2025,https://royalsocietypublishing.org/rspb/article/292/2049/20242443/234599/Ancient-dog-mitogenomes-support-the-dual-dispersal,
China_Harbin_12904,,V0726,,China_Harbin_12904,China_Harbin_12904,China_Harbin_12904_Heilongjiang_China_d_12904_A2_A2c,126.6,45.78,China,Heilongjiang,Harbin,A2c,Y,12904,13054-12754,direct_radiocarbon_dating,Canis familiaris,31.49,99.83,0.924,Zhang et al. (2024),Alvar_Scaffold_Samples ,https://pmc.ncbi.nlm.nih.gov/articles/PMC11003542/#sup1,
D_Alabama1_2250,1 Jo 176- 66-6,,,USA_Coxsite_c2250,D_Alabama_2250,D_Alabama1_2250_CoxSite_USA_c_2250_A2b4,-86.01,34.82,USA,"Cox Site, Alabama",,A2b4,Y,2250,,contextual,Canis familiaris,16.98,,0.9789,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Alabama1_5000,1Mo48 – 40-11,,,,D_Alabama_5000,D_Alabama1_5000_FlintRiver_USA_c_5000,-86.54,34.98,USA,"Flint River Site, Alabama",,,,5000,,contextual ,Canis familiaris,7.05,,0.934,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Alabama2_5000,CT8 D-2 2-90, ,,,D_Alabama2_5000,D_Alabama2_5000_LittleBear_USA_c_3000,-87.67,34.31,USA,"Little Bear, Alabama",,,,3000,,contextual,Canis familiaris,44.63,,0.8339,"Leathlobhair et al. (2018) 'The evolutionary history of dogs in the Americas', Science, 361: 81-85",American_dogs_lachie1,https://www.science.org/doi/10.1126/science.aao4776,
D_Alaska1_100,, , ,,D_Alaska_100,D_Alaska1_100_PointHope_Alaska_c_100,-166.752609,68.349868,Alaska,"Point Hope, Old Village",,,,100,,contextual,Canis familiaris,10.2,,0.7793,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
D_Alaska1_1105,, ,,USA_Deering_c1000,D_Alaska_1105,D_Alaska1_1105_Deering_Alaska_c_1105_A1a1,-162.717222,66.075556,Alaska,"Deering, Kotzebue Sound",,A1a1,Y,1105,,contextual,Canis familiaris,3.1,,0.703,AmeenPROCB2019,American_dogs_lachie1,https://royalsocietypublishing.org/rspb/article/286/1916/20191929/54591/Specialized-sledge-dogs-accompanied-Inuit,
